2019-01-01,2019,1,1,元日
2019-01-14,2019,1,14,成人の日
2019-02-11,2019,2,11,建国記念の日
2019-03-21,2019,3,21,春分の日(未確定)
2019-04-29,2019,4,29,昭和の日
2019-05-03,2019,5,3,憲法記念日
2019-05-04,2019,5,4,みどりの日
2019-05-05,2019,5,5,こどもの日
2019-05-06,2019,5,6,振替休日
2019-07-15,2019,7,15,海の日
2019-08-11,2019,8,11,山の日
2019-08-12,2019,8,12,振替休日
2019-09-16,2019,9,16,敬老の日
2019-09-23,2019,9,23,秋分の日(未確定)
2019-10-14,2019,10,14,体育の日
2019-11-03,2019,11,3,文化の日
2019-11-04,2019,11,4,振替休日
2019-11-23,2019,11,23,勤労感謝の日
2019-12-23,2019,12,23,天皇誕生日
